Datetime,Opening Price,Highest Price,Lowest Price,Closing Price,Trading Volume
2023-11-20 09:30:00,182.32,182.92,182.23,182.64,1185461
2023-11-20 10:00:00,182.65,182.89,182.52,182.88,633242
2023-11-20 10:30:00,182.88,182.93,182.67,182.84,191143
2023-11-20 11:00:00,182.84,183.12,182.77,182.98,276358
2023-11-20 11:30:00,182.98,183.13,182.87,183.05,283958
2023-11-20 12:00:00,183.06,183.22,182.95,183.15,325092
2023-11-20 12:30:00,183.15,183.16,182.85,182.99,553863
2023-11-20 13:00:00,182.99,183.48,182.96,183.38,435318
2023-11-20 13:30:00,183.38,183.43,183.27,183.33,197882
2023-11-20 14:00:00,183.35,183.36,183.17,183.36,142263
2023-11-20 14:30:00,183.37,183.47,183.35,183.43,158985
2023-11-20 15:00:00,183.44,183.48,183.29,183.3,153513
2023-11-20 15:30:00,183.31,183.4,183.29,183.38,622826
2023-11-21 09:30:00,185.57,186.1,185.52,185.93,1353893
2023-11-21 10:00:00,185.93,186.12,185.71,185.78,872639
2023-11-21 10:30:00,185.79,185.96,185.7,185.82,663662
2023-11-21 11:00:00,185.83,185.92,185.32,185.32,736538
2023-11-21 11:30:00,185.32,185.63,185.31,185.52,644970
2023-11-21 12:00:00,185.53,185.55,185.34,185.42,362186
2023-11-21 12:30:00,185.43,185.57,185.4,185.57,194479
2023-11-21 13:00:00,185.57,185.59,185.26,185.35,414416
2023-11-21 13:30:00,185.36,185.42,185.22,185.3,184645
2023-11-21 14:00:00,185.29,185.46,185.07,185.41,386523
2023-11-21 14:30:00,185.42,185.48,185.35,185.43,172910
2023-11-21 15:00:00,185.44,185.45,185.32,185.36,186432
2023-11-21 15:30:00,185.37,185.38,185.27,185.34,672198
2023-11-22 09:30:00,185.47,185.72,185.37,185.63,593022
2023-11-22 10:00:00,185.62,185.63,184.54,184.67,674728
2023-11-22 10:30:00,184.68,185.09,184.64,185.02,362453
2023-11-22 11:00:00,185.0,185.07,184.69,184.78,225018
2023-11-22 11:30:00,184.78,184.9,184.57,184.65,185851
2023-11-22 12:00:00,184.65,184.79,184.44,184.64,186691
2023-11-22 12:30:00,184.61,184.74,184.52,184.7,113194
2023-11-22 13:00:00,184.7,184.8,184.62,184.67,111056
2023-11-22 13:30:00,184.7,184.7,184.27,184.41,257715
2023-11-22 14:00:00,184.42,184.67,184.41,184.66,146172
2023-11-22 14:30:00,184.63,184.67,184.54,184.63,476193
2023-11-22 15:00:00,184.62,184.7,184.56,184.59,174446
2023-11-22 15:30:00,184.59,184.6,184.51,184.55,474398
2023-11-24 09:30:00,185.47,185.71,185.38,185.55,647836
2023-11-24 10:00:00,185.55,185.75,185.39,185.41,433024
2023-11-24 10:30:00,185.34,185.41,185.16,185.27,251625
2023-11-24 11:00:00,185.27,185.45,185.16,185.45,183175
2023-11-24 11:30:00,185.45,185.45,185.29,185.41,126067
2023-11-24 12:00:00,185.41,185.63,185.38,185.62,170820
2023-11-24 12:30:00,185.61,185.64,185.46,185.46,144198
2023-11-27 09:30:00,186.56,186.62,186.41,186.5,715459
2023-11-27 10:00:00,186.49,186.8,186.25,186.7,565288
2023-11-27 10:30:00,186.7,186.73,186.21,186.36,679197
2023-11-27 11:00:00,186.36,186.36,186.11,186.22,430995
2023-11-27 11:30:00,186.23,186.44,185.93,186.42,460435
2023-11-27 12:00:00,186.41,186.45,186.26,186.34,290147
2023-11-27 12:30:00,186.33,186.41,186.23,186.34,146694
2023-11-27 13:00:00,186.34,186.53,186.31,186.52,454605
2023-11-27 13:30:00,186.52,186.62,186.49,186.56,195782
2023-11-27 14:00:00,186.56,186.64,186.53,186.59,116842
2023-11-27 14:30:00,186.59,186.67,186.57,186.61,159214
2023-11-27 15:00:00,186.61,186.68,186.57,186.6,347082
2023-11-27 15:30:00,186.59,186.79,186.52,186.74,926951
2023-11-28 09:30:00,187.9,188.06,187.52,187.85,1272971
2023-11-28 10:00:00,187.83,188.07,187.61,187.76,556700
2023-11-28 10:30:00,187.75,188.34,187.74,188.28,932139
2023-11-28 11:00:00,188.28,188.98,188.24,188.78,1033778
2023-11-28 11:30:00,188.78,189.2,188.68,189.1,841044
2023-11-28 12:00:00,189.1,189.4,189.01,189.31,553127
2023-11-28 12:30:00,189.32,189.39,189.11,189.19,633383
2023-11-28 13:00:00,189.19,189.25,188.94,189.0,508268
2023-11-28 13:30:00,188.99,189.08,188.96,189.08,360996
2023-11-28 14:00:00,189.07,189.24,189.07,189.1,278036
2023-11-28 14:30:00,189.1,189.37,189.08,189.29,402209
2023-11-28 15:00:00,189.28,189.29,189.09,189.2,408705
